1,The Business Inn,lodging,4.3,false
2,The Whalesbone Elgin Street,restaurant,4.4,false
3,Eyemaxx Optical Studio,store,4.9,false
4,Parker Clean,laundry,3.1,false
5,Red Velvet,clothing_store,4.2,false
6,Dollarama,store,4,false
7,Deacon Brodies Pub,bar,4.1,false
8,Chez Mo,cafe,4.2,True
9,Wine Rack,liquor_store,4,false
10,Lemongrass Thai Cuisine,restaurant,3.8,false
11,J'Adore Beauty Bar and Lounge,spa,3.9,false
12,St. Louis Bar & Grill,bar,4.1,false
13,Elgin Beer Project,restaurant,4.3,false
14,El Camino,restaurant,4.4,false
15,Datsun,restaurant,4.5,false
17,The Leading Note,electronics_store,4.7,false
18,The Standard,bar,4.1,false
19,The Cross On Elgin,bar,4.1,false
20,Money Mart,finance,3.5,false
21,Town,restaurant,4.6,false
22,Sir John A Pub,bar,4.3,false
23,Boko Bakery,bakery,4.6,True
24,The Fry,restaurant,4.2,false
25,Ginza Ramen Sushi and Sake Bar,restaurant,3.9,false
26,Zesty Market,convenience_store,2.4,false
27,Heart of Ottawa Medical Centre,health,3.7,false
28,The Ministry of Coffee,cafe,4.5,false
29,Bel Fiore Flowers & Collectibles,florist,4.5,false
30,White Cross Dispensary - (Pharmacy),pharmacy,4.5,false
31,Oriental House Restaurant,restaurant,3.9,false
32,Brownloaf Bakery,bakery,4.8,false
33,Pot & Pantry,furniture_store,4.8,false
34,Morrison's Salon,beauty_salon,4.7,false
35,McDonald's,cafe,3.1,false
36,Circle K,convenience_store,2.9,false
37,Rio Nails,beauty_salon,3.7,false
38,Happy Fish Raw Bar,bar,4,false
39,Paramount Property Management Inc,real_estate_agency,2.4,false
40,COMMON Eatery,restaurant,4.3,false
41,The Manx Pub,bar,4.6,false
42,The Waverley Elgin,restaurant,3.8,false
43,The Lieutenant's Pump,bar,4.3,false
44,Hooley's Pub,bar,4,false
45,Parker Clean,laundry,3.1,false
46,Fox & Feather Pub and Grill,bar,3.8,false
47,Pancho Villa,restaurant,4.3,false
48,Dunn's Famous,restaurant,3.7,True
49,Pizza Pizza,meal_delivery,3.4,false
50,Elgin Fitness,gym,4.7,false
51,TD Canada Trust Branch and ATM,bank,3.3,false
52,LIVE! on Elgin,bar,4.6,false
53,Dollarama,store,4,false
54,Perfect Books,book_store,4.7,false
55,ELGIN JEWELLERS,jewelry_store,3.9,false
56,Scrim's Florist,florist,4.6,false
57,The Gifted Type,store,4.8,false
58,boogie + birdie,store,4.4,false
59,Starbucks,cafe,4.2,false
60,Johnny Farina,bar,4.2,false
61,Shawarma Andalos,restaurant,4.5,false
62,Harvey's,restaurant,4,false
63,Circle K,convenience_store,2.9,false
64,Pure Kitchen Elgin,cafe,4.5,false
65,Happy Goat Coffee Co. (Elgin),cafe,4.5,false
66,The Captain's Boil,restaurant,3.9,false
67,Elgin Street Diner,meal_delivery,4.3,false
68,Pure Gelato,store,4.5,false
69,Quickie,convenience_store,5,false
70,PiRho Grill-Elgin St,restaurant,4.7,false
71,Al's Steakhouse,restaurant,4.3,false
72,Hooley's Pub,bar,4,false
73,Pizza Pizza,meal_delivery,3.4,false
74,TD Canada Trust Branch and ATM,bank,3.3,false
75,Bridgehead,cafe,4.3,false
76,Katari Imaging,store,4.7,false
77,Kochu,restaurant,4.4,True
78,"Oz Kafe, ByWard Market",restaurant,4.5,True
79,Barres and Wheels,gym,4.7,false
80,MacLaren's on Elgin,bar,4,false
